simulation_id,network_size,seed_size,periods,max_resends,saturation_threshold,simulation_period,state_noread,state_count_read,state_count_prepared,state_count_shared,saturated_agents
0,3000,150,25,5,5,0,3000,0,0,0,0
0,3000,150,25,5,5,1,2963,26,11,0,0
0,3000,150,25,5,5,2,2964,28,8,0,0
0,3000,150,25,5,5,3,2919,62,11,8,0
0,3000,150,25,5,5,4,2919,62,0,19,0
0,3000,150,25,5,5,5,2919,62,0,19,0
0,3000,150,25,5,5,6,2973,22,5,0,0
0,3000,150,25,5,5,7,2943,46,6,5,0
0,3000,150,25,5,5,8,2971,24,5,0,0
0,3000,150,25,5,5,9,2940,47,8,5,0
0,3000,150,25,5,5,10,2938,48,0,14,0
0,3000,150,25,5,5,11,2968,21,11,0,0
0,3000,150,25,5,5,12,2974,17,9,0,0
0,3000,150,25,5,5,13,2914,66,10,10,0
0,3000,150,25,5,5,14,2912,67,1,20,0
0,3000,150,25,5,5,15,2912,67,0,21,0
0,3000,150,25,5,5,16,2912,67,0,21,0
0,3000,150,25,5,5,17,2912,67,0,21,0
0,3000,150,25,5,5,18,2912,67,0,21,0
0,3000,150,25,5,5,19,2912,67,0,21,0
0,3000,150,25,5,5,20,2912,67,0,21,0
0,3000,150,25,5,5,21,2912,67,0,21,0
0,3000,150,25,5,5,22,2912,67,0,21,0
0,3000,150,25,5,5,23,2912,67,0,21,0
0,3000,150,25,5,5,24,2912,67,0,21,0